Amp,Realness,Subject,Emotion,Gender,Eye
7.15241423177466,1,1,1,0,41679
1.02489438899363,1,2,1,0,41679
4.91585314308601,1,3,1,0,41679
1.34197519840714,1,4,1,0,41679
2.58447503063009,1,5,1,0,41679
6.32371541885953,1,6,1,0,41679
3.30747102291241,1,7,1,0,41679
1.25293700875891,1,8,1,0,41679
2.35143662471179,1,9,1,0,41679
1.12228138763765,1,10,1,0,41679
4.7937578471672,1,1,1,1,36528
0.875985695068731,1,2,1,1,36528
5.11938323981309,1,3,1,1,36528
1.22155127524784,1,4,1,1,36528
3.68198728459966,1,5,1,1,36528
6.43987458846193,1,6,1,1,36528
3.89731283739341,1,7,1,1,36528
0.538225725335904,1,8,1,1,36528
1.02400305540825,1,9,1,1,36528
1.00420812639776,1,10,1,1,36528
6.77515835961412,1,1,2,0,49939
1.53567883843224,1,2,2,0,49939
4.46814788618257,1,3,2,0,49939
1.74402803146979,1,4,2,0,49939
3.24266446288735,1,5,2,0,49939
7.72427621314936,1,6,2,0,49939
3.43240697579122,1,7,2,0,49939
0.518371013155783,1,8,2,0,49939
1.37297746320045,1,9,2,0,49939
0.868307669171806,1,10,2,0,49939
5.74433196900199,1,1,2,1,40475
2.05418599911628,1,2,2,1,40475
4.22930099323397,1,3,2,1,40475
2.15454014734763,1,4,2,1,40475
3.23022759456702,1,5,2,1,40475
6.5321298937494,1,6,2,1,40475
2.49670062907019,1,7,2,1,40475
0.767653317538722,1,8,2,1,40475
0.983639603480015,1,9,2,1,40475
1.5941830629237,1,10,2,1,40475
5.90678010991229,1,1,3,0,61749
1.64622117503238,1,2,3,0,61749
3.6732522137794,1,3,3,0,61749
1.73779143377459,1,4,3,0,61749
2.18832274469477,1,5,3,0,61749
5.94347954962528,1,6,3,0,61749
2.90194172668279,1,7,3,0,61749
0.553059400881132,1,8,3,0,61749
1.23985301309912,1,9,3,0,61749
0.94674938606566,1,10,3,0,61749
6.1538752030605,1,1,3,1,50872
1.2143673371082,1,2,3,1,50872
3.25340836476987,1,3,3,1,50872
0.935372635871562,1,4,3,1,50872
2.0071041256836,1,5,3,1,50872
4.91817584762402,1,6,3,1,50872
2.66931549958416,1,7,3,1,50872
-1.21396824016337,1,8,3,1,50872
-0.42701138696669,1,9,3,1,50872
0.059841667359666,1,10,3,1,50872
5.01799195702116,2,1,1,0,12771
2.02898693775969,2,2,1,0,12771
5.76201140146412,2,3,1,0,12771
1.03729380884594,2,4,1,0,12771
2.83436648675647,2,5,1,0,12771
5.47656566615221,2,6,1,0,12771
3.21089540708178,2,7,1,0,12771
1.64877913301143,2,8,1,0,12771
1.62000203526967,2,9,1,0,12771
1.53810094056239,2,10,1,0,12771
5.79438328003131,2,1,1,1,14628
1.82645999335424,2,2,1,1,14628
3.57684489131514,2,3,1,1,14628
0.274623792814349,2,4,1,1,14628
3.26896681798578,2,5,1,1,14628
4.7956362562238,2,6,1,1,14628
2.52364529185799,2,7,1,1,14628
-0.258116910962145,2,8,1,1,14628
-0.21950654143179,2,9,1,1,14628
1.06391616726291,2,10,1,1,14628
3.44285786482393,2,1,2,0,27180
1.84875574947956,2,2,2,0,27180
5.42999564796607,2,3,2,0,27180
0.355649392751401,2,4,2,0,27180
3.0347400426861,2,5,2,0,27180
5.22928495812594,2,6,2,0,27180
3.45699741804719,2,7,2,0,27180
1.54076019375685,2,8,2,0,27180
0.27547234288179,2,9,2,0,27180
0.827409188883389,2,10,2,0,27180
3.37546573638248,2,1,2,1,27944
1.27694703626468,2,2,2,1,27944
2.04254526681311,2,3,2,1,27944
1.49677635182143,2,4,2,1,27944
3.17623317424135,2,5,2,1,27944
5.66696368156707,2,6,2,1,27944
2.52277434061127,2,7,2,1,27944
0.109238594234727,2,8,2,1,27944
-0.250014330306093,2,9,2,1,27944
0.83908267651395,2,10,2,1,27944
4.35986392645124,2,1,3,0,34586
1.24023156383636,2,2,3,0,34586
3.80917855561903,2,3,3,0,34586
-0.066779716394405,2,4,3,0,34586
2.96286905119666,2,5,3,0,34586
5.59387755719661,2,6,3,0,34586
2.73007503940482,2,7,3,0,34586
0.343137120788735,2,8,3,0,34586
0.428096103888422,2,9,3,0,34586
1.11208783106026,2,10,3,0,34586
4.21109812461805,2,1,3,1,32272
1.1376317510565,2,2,3,1,32272
2.66440853068313,2,3,3,1,32272
1.68368484529994,2,4,3,1,32272
0.840664320835375,2,5,3,1,32272
5.45609374893625,2,6,3,1,32272
1.25099023872885,2,7,3,1,32272
0.0819604796239837,2,8,3,1,32272
0.475877848147959,2,9,3,1,32272
0.0708072018605009,2,10,3,1,32272
4.7995143770811,3,1,1,0,12582
1.77023515727308,3,2,1,0,12582
3.74422478926255,3,3,1,0,12582
0.130158690563251,3,4,1,0,12582
3.2440487294697,3,5,1,0,12582
4.25364869995803,3,6,1,0,12582
3.38546019689206,3,7,1,0,12582
1.06376027076597,3,8,1,0,12582
0.933789121834723,3,9,1,0,12582
1.41933547397673,3,10,1,0,12582
5.42676139289091,3,1,1,1,10355
2.0846304793101,3,2,1,1,10355
3.89599523438794,3,3,1,1,10355
1.17317739292083,3,4,1,1,10355
3.31178729803015,3,5,1,1,10355
