Amp,Realness,Subject,Emotion,Gender,Eye
6.83440720076316,1,1,1,0,41679
0.515662721299184,1,2,1,0,41679
4.38042904003033,1,3,1,0,41679
1.28926529149221,1,4,1,0,41679
2.12079420784516,1,5,1,0,41679
7.337839855278,1,6,1,0,41679
3.27360435190875,1,7,1,0,41679
0.5745148427091,1,8,1,0,41679
4.00124376255257,1,9,1,0,41679
1.29739367120292,1,10,1,0,41679
4.35162443262763,1,1,1,1,36528
0.771212370338066,1,2,1,1,36528
4.13038527031239,1,3,1,1,36528
0.853066850585455,1,4,1,1,36528
3.48498288085179,1,5,1,1,36528
7.09628278733185,1,6,1,1,36528
3.70235126124927,1,7,1,1,36528
0.365452802939889,1,8,1,1,36528
3.35363526850463,1,9,1,1,36528
1.28432005577507,1,10,1,1,36528
7.98067273360272,1,1,2,0,49939
0.779938929582026,1,2,2,0,49939
4.47340887120644,1,3,2,0,49939
1.95029121891498,1,4,2,0,49939
3.3384427442913,1,5,2,0,49939
8.44493067952432,1,6,2,0,49939
3.69832968604262,1,7,2,0,49939
-0.340631659697421,1,8,2,0,49939
2.81039570532471,1,9,2,0,49939
0.260792217720517,1,10,2,0,49939
6.47177840431366,1,1,2,1,40475
1.97936202499109,1,2,2,1,40475
3.87168720655206,1,3,2,1,40475
2.53065851272024,1,4,2,1,40475
3.38290038890075,1,5,2,1,40475
8.15028213550666,1,6,2,1,40475
2.54542361884921,1,7,2,1,40475
-0.0352409763277663,1,8,2,1,40475
2.87653563461076,1,9,2,1,40475
2.05975129545809,1,10,2,1,40475
6.75949938071001,1,1,3,0,61749
0.817976105285859,1,2,3,0,61749
3.42535509728108,1,3,3,0,61749
1.62664709344328,1,4,3,0,61749
2.25433402822887,1,5,3,0,61749
6.64309046784791,1,6,3,0,61749
2.4934692424369,1,7,3,0,61749
-0.634493983363243,1,8,3,0,61749
2.76126218044078,1,9,3,0,61749
0.788492066344007,1,10,3,0,61749
7.2279007228667,1,1,3,1,50872
1.7639516139362,1,2,3,1,50872
3.39850672066776,1,3,3,1,50872
1.07991905925329,1,4,3,1,50872
2.10140692637877,1,5,3,1,50872
6.63282480910858,1,6,3,1,50872
2.79581798084653,1,7,3,1,50872
-1.66236572682781,1,8,3,1,50872
1.59312172351879,1,9,3,1,50872
0.320853602642669,1,10,3,1,50872
5.37103713938306,2,1,1,0,12771
1.3860059174716,2,2,1,0,12771
5.3390067437952,2,3,1,0,12771
1.22660376264208,2,4,1,0,12771
2.39635216103245,2,5,1,0,12771
6.94003842871888,2,6,1,0,12771
2.77925963518987,2,7,1,0,12771
1.18776034221101,2,8,1,0,12771
3.34986122634224,2,9,1,0,12771
1.35568428350254,2,10,1,0,12771
7.37575749004856,2,1,1,1,14628
1.68948305363475,2,2,1,1,14628
4.20479994051787,2,3,1,1,14628
0.622184547405984,2,4,1,1,14628
3.36638933651356,2,5,1,1,14628
5.20443708745488,2,6,1,1,14628
2.44811828551684,2,7,1,1,14628
-0.831184097398687,2,8,1,1,14628
1.87361580629222,2,9,1,1,14628
1.55410489095083,2,10,1,1,14628
2.65304236463471,2,1,2,0,27180
0.831482456441019,2,2,2,0,27180
5.08280234348034,2,3,2,0,27180
-0.0560830858217039,2,4,2,0,27180
2.53691448178567,2,5,2,0,27180
5.33104360189835,2,6,2,0,27180
3.20525730459315,2,7,2,0,27180
0.555611398953087,2,8,2,0,27180
2.98871828858811,2,9,2,0,27180
1.22647436791712,2,10,2,0,27180
3.8899287192046,2,1,2,1,27944
1.01719068930796,2,2,2,1,27944
2.57502691382771,2,3,2,1,27944
1.10875216827126,2,4,2,1,27944
3.35631643977485,2,5,2,1,27944
6.32207021308438,2,6,2,1,27944
2.31001285738242,2,7,2,1,27944
-1.01488047570221,2,8,2,1,27944
1.72873667006044,2,9,2,1,27944
1.91078252468654,2,10,2,1,27944
5.38125327878703,2,1,3,0,34586
0.722272300315662,2,2,3,0,34586
3.308161818116,2,3,3,0,34586
-0.271114322031074,2,4,3,0,34586
2.95133735073789,2,5,3,0,34586
7.37279948560484,2,6,3,0,34586
2.08538944322393,2,7,3,0,34586
-0.529302156126149,2,8,3,0,34586
2.92628041825838,2,9,3,0,34586
1.54289240773592,2,10,3,0,34586
5.79400127323513,2,1,3,1,32272
1.05826477181633,2,2,3,1,32272
2.3116293013648,2,3,3,1,32272
1.68628445139822,2,4,3,1,32272
1.41261233616099,2,5,3,1,32272
6.23726987151822,2,6,3,1,32272
1.14696562686911,2,7,3,1,32272
-0.229836320255052,2,8,3,1,32272
2.98079346582449,2,9,3,1,32272
0.728558457372996,2,10,3,1,32272
4.84631970437752,3,1,1,0,12582
1.62256744947277,3,2,1,0,12582
3.6770570969318,3,3,1,0,12582
0.360772978069683,3,4,1,0,12582
2.92829017921106,3,5,1,0,12582
4.80292840820566,3,6,1,0,12582
2.83800690356003,3,7,1,0,12582
0.231157924167247,3,8,1,0,12582
2.43949145906678,3,9,1,0,12582
0.934003368276313,3,10,1,0,12582
6.92543555731413,3,1,1,1,10355
2.06164202190455,3,2,1,1,10355
4.04211285997187,3,3,1,1,10355
1.73779470673793,3,4,1,1,10355
3.36176302812894,3,5,1,1,10355
5.53986537879314,3,6,1,1,10355
2.97952739641368,3,7,1,1,10355
0.00227594932535227,3,8,1,1,10355
1.99196942286782,3,9,1,1,10355
1.60058569753956,3,10,1,1,10355
5.46572153928908,3,1,2,0,17477
2.10532895168592,3,2,2,0,17477
2.405022344266,3,3,2,0,17477
-0.369174008119841,3,4,2,0,17477
3.72208325991355,3,5,2,0,17477
2.82818213455938,3,6,2,0,17477
2.37115755417077,3,7,2,0,17477
-0.56786926253942,3,8,2,0,17477
3.04600410893996,3,9,2,0,17477
1.05106799246594,3,10,2,0,17477
6.96510863830771,3,1,2,1,13113
0.976623108850561,3,2,2,1,13113
3.01191649498375,3,3,2,1,13113
1.4957782352203,3,4,2,1,13113
4.06784799336298,3,5,2,1,13113
4.17943851488877,3,6,2,1,13113
2.41937871417768,3,7,2,1,13113
-0.793446464098017,3,8,2,1,13113
2.48544352269941,3,9,2,1,13113
1.72949834841067,3,10,2,1,13113
4.81606268561998,3,1,3,0,18402
1.28160426114827,3,2,3,0,18402
2.43624073834971,3,3,3,0,18402
0.892322621765539,3,4,3,0,18402
3.66696723624147,3,5,3,0,18402
4.98543602797837,3,6,3,0,18402
2.04210533360978,3,7,3,0,18402
-0.501008417368329,3,8,3,0,18402
3.43864867339068,3,9,3,0,18402
1.49064130463809,3,10,3,0,18402
4.40854681725034,3,1,3,1,14541
0.960467123273544,3,2,3,1,14541
1.94905966850422,3,3,3,1,14541
0.676007867628585,3,4,3,1,14541
2.34730165677353,3,5,3,1,14541
4.52378034241177,3,6,3,1,14541
2.47659574967684,3,7,3,1,14541
0.702578290335924,3,8,3,1,14541
1.32536722252575,3,9,3,1,14541
0.0878560324252298,3,10,3,1,14541
6.92337131197137,4,1,1,0,12349
1.39260092382881,4,2,1,0,12349
4.12632342281693,4,3,1,0,12349
0.541250422487728,4,4,1,0,12349
2.43453864744036,4,5,1,0,12349
5.6754154859235,4,6,1,0,12349
2.25008731174036,4,7,1,0,12349
0.314430987048558,4,8,1,0,12349
2.46723673586972,4,9,1,0,12349
0.620243253241253,4,10,1,0,12349
3.10719551431545,4,1,1,1,8266
1.29060498722185,4,2,1,1,8266
3.55095870342271,4,3,1,1,8266
0.316547723019961,4,4,1,1,8266
4.45156055111378,4,5,1,1,8266
6.68863374309362,4,6,1,1,8266
1.53306637545181,4,7,1,1,8266
1.62055702987384,4,8,1,1,8266
2.17560675800045,4,9,1,1,8266
0.328272083136552,4,10,1,1,8266
5.78087431371922,4,1,2,0,14718
0.664069006571619,4,2,2,0,14718
2.89545786607695,4,3,2,0,14718
-0.0179363816734913,4,4,2,0,14718
2.25801449082,4,5,2,0,14718
5.74069620802893,4,6,2,0,14718
2.7431448703267,4,7,2,0,14718
1.52378407699219,4,8,2,0,14718
2.54663871020059,4,9,2,0,14718
1.51330180594281,4,10,2,0,14718
4.78366484939196,4,1,2,1,7974
1.51528702205573,4,2,2,1,7974
2.25804808809531,4,3,2,1,7974
-0.578897367516025,4,4,2,1,7974
3.59685014335051,4,5,2,1,7974
5.87117740527653,4,6,2,1,7974
3.0328826627717,4,7,2,1,7974
