Amp,Realness,Subject,Emotion,Gender,Eye
3.54028234634121,1,1,1,0,41679
0.586633358218566,1,2,1,0,41679
2.20412786694805,1,3,1,0,41679
0.765302592242563,1,4,1,0,41679
1.29872556264724,1,5,1,0,41679
3.24129504893977,1,6,1,0,41679
2.23752383844052,1,7,1,0,41679
1.33887604245915,1,8,1,0,41679
0.907691025363256,1,9,1,0,41679
1.09067688029389,1,10,1,0,41679
3.83317344460733,1,1,1,1,36528
0.532071202474529,1,2,1,1,36528
2.59200095158131,1,3,1,1,36528
1.13398768472264,1,4,1,1,36528
1.56428257973238,1,5,1,1,36528
3.00863402734735,1,6,1,1,36528
2.91735322163615,1,7,1,1,36528
1.08370754317406,1,8,1,1,36528
0.44105271590227,1,9,1,1,36528
1.18253094285154,1,10,1,1,36528
3.15745195741247,1,1,2,0,49939
0.620394149391845,1,2,2,0,49939
2.66606864491436,1,3,2,0,49939
1.12394062496985,1,4,2,0,49939
1.79660597915011,1,5,2,0,49939
3.82118174429609,1,6,2,0,49939
2.66922818682794,1,7,2,0,49939
1.15292183103988,1,8,2,0,49939
0.789207632406477,1,9,2,0,49939
0.848674453373335,1,10,2,0,49939
3.36108598615465,1,1,2,1,40475
0.799548913677098,1,2,2,1,40475
3.23635871941108,1,3,2,1,40475
1.15730472634989,1,4,2,1,40475
1.48599281663352,1,5,2,1,40475
3.5762244469686,1,6,2,1,40475
2.37012876074117,1,7,2,1,40475
1.13937369258545,1,8,2,1,40475
1.18869895976575,1,9,2,1,40475
1.34201208339912,1,10,2,1,40475
3.07401977322705,1,1,3,0,61749
0.54770557389841,1,2,3,0,61749
2.09593607108163,1,3,3,0,61749
0.990897879747205,1,4,3,0,61749
1.55738741484188,1,5,3,0,61749
2.97454765895029,1,6,3,0,61749
2.17311190360097,1,7,3,0,61749
1.39612175216918,1,8,3,0,61749
0.28871423674266,1,9,3,0,61749
0.871170579169751,1,10,3,0,61749
3.37396647295825,1,1,3,1,50872
0.758288891444013,1,2,3,1,50872
2.58201944715252,1,3,3,1,50872
1.00030123779094,1,4,3,1,50872
1.07889610483163,1,5,3,1,50872
2.85254276059135,1,6,3,1,50872
2.61975189320393,1,7,3,1,50872
1.74453659592087,1,8,3,1,50872
1.20564163743734,1,9,3,1,50872
0.779069248787467,1,10,3,1,50872
3.31589430759515,2,1,1,0,12771
0.5467766883944,2,2,1,0,12771
2.1570497440404,2,3,1,0,12771
1.1763062927693,2,4,1,0,12771
1.76473785290107,2,5,1,0,12771
3.19873754212993,2,6,1,0,12771
2.62412856831828,2,7,1,0,12771
2.14032640674217,2,8,1,0,12771
0.70901428693568,2,9,1,0,12771
0.789398252252169,2,10,1,0,12771
3.23114207694613,2,1,1,1,14628
0.678932345572966,2,2,1,1,14628
1.62159623797094,2,3,1,1,14628
0.821945809053282,2,4,1,1,14628
1.49266865088454,2,5,1,1,14628
2.44131785053041,2,6,1,1,14628
2.88090312402788,2,7,1,1,14628
2.05439134543563,2,8,1,1,14628
1.67026174652494,2,9,1,1,14628
0.537494052373486,2,10,1,1,14628
3.30619462553417,2,1,2,0,27180
0.769125197119205,2,2,2,0,27180
2.46144912708801,2,3,2,0,27180
1.12462876761138,2,4,2,0,27180
1.39552839276458,2,5,2,0,27180
2.89052512752681,2,6,2,0,27180
2.61042478707371,2,7,2,0,27180
1.67393668892108,2,8,2,0,27180
0.539315097328374,2,9,2,0,27180
0.189342094219879,2,10,2,0,27180
2.21517613472225,2,1,2,1,27944
0.40797407501943,2,2,2,1,27944
2.75390718177826,2,3,2,1,27944
0.534078374247248,2,4,2,1,27944
1.65443629059095,2,5,2,1,27944
2.85731127724321,2,6,2,1,27944
2.37189657910127,2,7,2,1,27944
1.39128980818688,2,8,2,1,27944
1.16796557581058,2,9,2,1,27944
0.673137883536886,2,10,2,1,27944
2.91865764999214,2,1,3,0,34586
0.646803255607894,2,2,3,0,34586
2.06874754993099,2,3,3,0,34586
1.96679701389272,2,4,3,0,34586
1.50690544935934,2,5,3,0,34586
3.03442526523005,2,6,3,0,34586
2.92534402489757,2,7,3,0,34586
1.59857053297806,2,8,3,0,34586
0.426241408581848,2,9,3,0,34586
0.24667459308421,2,10,3,0,34586
2.70207202275099,2,1,3,1,32272
0.511526544734577,2,2,3,1,32272
2.42859239317549,2,3,3,1,32272
1.32812410327511,2,4,3,1,32272
1.16595280463692,2,5,3,1,32272
2.37403259006469,2,6,3,1,32272
2.79373160737873,2,7,3,1,32272
0.930204517942812,2,8,3,1,32272
1.21123836478469,2,9,3,1,32272
0.56960798721888,2,10,3,1,32272
3.4823261419068,3,1,1,0,12582
0.494750287249419,3,2,1,0,12582
0.840376824909123,3,3,1,0,12582
0.954194065414061,3,4,1,0,12582
1.03274560168793,3,5,1,0,12582
1.93510225590866,3,6,1,0,12582
1.62254063810053,3,7,1,0,12582
1.65634683593303,3,8,1,0,12582
0.764583136658433,3,9,1,0,12582
1.26075601548793,3,10,1,0,12582
2.61116522178656,3,1,1,1,10355
0.228227616252944,3,2,1,1,10355
0.640693504495764,3,3,1,1,10355
0.775806529829799,3,4,1,1,10355
1.37337066298152,3,5,1,1,10355
2.07943688740159,3,6,1,1,10355
2.20657159985628,3,7,1,1,10355
1.22797003839271,3,8,1,1,10355
1.19461259958186,3,9,1,1,10355
1.74324852848134,3,10,1,1,10355
3.09575532685694,3,1,2,0,17477
0.453176928542922,3,2,2,0,17477
0.573729947125423,3,3,2,0,17477
0.709824549101343,3,4,2,0,17477
1.21195050894416,3,5,2,0,17477
1.76097343780686,3,6,2,0,17477
2.54268733428296,3,7,2,0,17477
1.10054175836101,3,8,2,0,17477
1.11846645221439,3,9,2,0,17477
1.79918773880916,3,10,2,0,17477
2.77082882785708,3,1,2,1,13113
0.716659524734831,3,2,2,1,13113
1.47108166074449,3,3,2,1,13113
0.835862176644279,3,4,2,1,13113
1.42197169431291,3,5,2,1,13113
2.06898104158887,3,6,2,1,13113
2.48283551278958,3,7,2,1,13113
1.38369246824634,3,8,2,1,13113
0.944028772360148,3,9,2,1,13113
1.67386987420331,3,10,2,1,13113
2.62987995269957,3,1,3,0,18402
0.398978719674511,3,2,3,0,18402
0.579425568753516,3,3,3,0,18402
1.07358109458675,3,4,3,0,18402
1.1289405274415,3,5,3,0,18402
1.6713924841233,3,6,3,0,18402
2.22734737485847,3,7,3,0,18402
1.21730732646896,3,8,3,0,18402
0.930589677977131,3,9,3,0,18402
1.98119980790402,3,10,3,0,18402
3.13751919343825,3,1,3,1,14541
0.281360260478003,3,2,3,1,14541
1.53642597714185,3,3,3,1,14541
1.38740044453516,3,4,3,1,14541
1.32479834145191,3,5,3,1,14541
1.8045709219877,3,6,3,1,14541
2.8430617750483,3,7,3,1,14541
1.68777763010189,3,8,3,1,14541
1.3852466020679,3,9,3,1,14541
0.580618430394241,3,10,3,1,14541
2.91798241778726,4,1,1,0,12349
0.317168270016186,4,2,1,0,12349
0.614094659095875,4,3,1,0,12349
1.09368379988197,4,4,1,0,12349
1.32622206905121,4,5,1,0,12349
2.64320046280397,4,6,1,0,12349
2.61648081795527,4,7,1,0,12349
